"cts_urn","abbv","title"
"tlg0007.tlg072","cap.inim.","De capienda ex inimicis utilitate"
"tlg0007.tlg073","amic.mult.","De amicorum multitudine"
"tlg0007.tlg074","fort.","De fortuna"
"tlg0007.tlg075","virt.vit.","De virtute et vitio"
"tlg0007.tlg076","Consol.Apol.","Consolatio ad Apollonium"
"tlg0007.tlg077","tuend.sanit.","De tuenda sanitate praecepta"
"tlg0007.tlg078","Conjug.praec.","Conjugalia Praecepta"
"tlg0007.tlg079","Sept.sap.","Septem sapientium convivium"
"tlg0007.tlg080","Superst.","De Superstitione"
"tlg0007.tlg081","Reg.imperat.","Regum et imperatorum apophthegmata"
"tlg0007.tlg082","Apophth.Lac.","Apophthegmata Laconica"
"tlg0007.tlg082a","Inst.Lac.","Instituta Laconia"
"tlg0007.tlg082b","Lacaen.Apophth.","Lacaenarum Apophthegmata"
"tlg0007.tlg083","Mul.virt.","Mulierum virtutes"
"tlg0007.tlg084","Qu.Rom.","Quaestiones Romanae"
"tlg0007.tlg084a","Qu.Rom.","Quaestiones Romanae"
"tlg0007.tlg084b","Qu.Gr.","Quaestiones Graecae"
"tlg0007.tlg085","Par.min.","Parallela minora"
"tlg0007.tlg086","fort.Rom.","De fortuna Romanorum"
"tlg0007.tlg087","Alex.fort.","De Alexandri magni fortuna aut virtute"
"tlg0007.tlg088","glor.Athen.","De gloria Atheniensium"
"tlg0007.tlg089","Isid.Osir.","De Iside et Osiride"
"tlg0007.tlg090","Delph.","De E apud Delphos"
"tlg0007.tlg091","Pyth.orac.","De Pythiae oraculis"
"tlg0007.tlg092","Defect.Orac.","De Defectu Oraculorum"
"tlg0007.tlg093","Virt.Doc.","An Virtus Doceri Possit"
"tlg0007.tlg094","Virt.Moral.","De Virtute Morali"
"tlg0007.tlg095","cohib.ir.","De cohibenda ira"
"tlg0007.tlg096","Tranq.An.","De Tranquillitate Animi"
"tlg0007.tlg097","frat.amor.","De fraterno amore"
"tlg0007.tlg098","Amor.Prol.","De Amore Prolis"
"tlg0007.tlg099","vitios.infelic.","An vitiositas ad infelicitatem sufficia"
"tlg0007.tlg100","Anim.corp.","Animine an corporis affectiones sint peiores"
"tlg0007.tlg101","Garrul.","De Garrulitate"
"tlg0007.tlg102","curios.","De curiositate"
"tlg0007.tlg103","cupid.Div.","De Cupiditate Divitiarum"
"tlg0007.tlg104","Vit.Pud.","De Vitioso Pudore"
"tlg0007.tlg105","Invid.Od.","De Invidia et Odio"
"tlg0007.tlg106","Citr.Invid.","De Se Ipsum Citra Invidiam Laudando"
"tlg0007.tlg107","Num.Vind.","De Sera Numinis Vindicta"
"tlg0007.tlg108","Fat.","De Fato"
"tlg0007.tlg109","Gen.Socrat.","De Genio Socratis"
"tlg0007.tlg110","exil.","De exilio"
"tlg0007.tlg111","Consol.Ux.","Consolatio Ad Uxorem"
"tlg0007.tlg112","Qu.Conv.","Quaestiones Convivales"
"tlg0007.tlg113","Amator.","Amatorius"
"tlg0007.tlg114","Amator.Nar.","Amatoriae Narrationes"
"tlg0007.tlg115","Max.Princ.","Maxime Cum Principibus Viris Philosopho Esse Disserendum"
"tlg0007.tlg116","princ.inerud.","Ad principem ineruditum"
"tlg0007.tlg117","sen.RP.ger.","An seni respublica gerenda sit"
"tlg0007.tlg118","Praec.ger.RP","Praecepta gerendae reipublicae"
"tlg0007.tlg119","un.RP.dom.","De unius in republica dominatione, populari statu, et paucorum imperio"
"tlg0007.tlg120","vitan.aer.","De vitando aere alieno"
"tlg0007.tlg121","dec.orat.","Vitae decem oratorum"
